title,picture_url,myanimelist_url,myanimelist_id,rank,score,type,aired_on,members
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,https://cdn.myanimelist.net/images/anime/1611/112806.jpg,https://myanimelist.net/anime/11577/Steins_Gate_Movie__Fuka_Ryouiki_no_Déjà_vu,11577,33,8.45,Movie (1 eps),Apr 2013 - Apr 2013,588163
Yuru Camp△ Movie,https://cdn.myanimelist.net/images/anime/1806/124396.jpg,https://myanimelist.net/anime/38475/Yuru_Camp△_Movie,38475,34,8.44,Movie (1 eps),Jul 2022 - Jul 2022,74554
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,https://cdn.myanimelist.net/images/anime/1638/119321.jpg,https://myanimelist.net/anime/38040/Kono_Subarashii_Sekai_ni_Shukufuku_wo_Movie__Kurenai_Densetsu,38040,35,8.44,Movie (1 eps),Aug 2019 - Aug 2019,761114
Gintama: Yorinuki Gintama-san on Theater 2D,https://cdn.myanimelist.net/images/anime/1172/90571.jpg,https://myanimelist.net/anime/21899/Gintama__Yorinuki_Gintama-san_on_Theater_2D,21899,36,8.43,Movie (2 eps),Aug 2012 - Aug 2012,43970
Natsume Yuujinchou Movie: Utsusemi ni Musubu,https://cdn.myanimelist.net/images/anime/1250/94846.jpg,https://myanimelist.net/anime/36538/Natsume_Yuujinchou_Movie__Utsusemi_ni_Musubu,36538,37,8.42,Movie (1 eps),Sep 2018 - Sep 2018,71152
Saenai Heroine no Sodatekata Fine,https://cdn.myanimelist.net/images/anime/1671/111411.jpg,https://myanimelist.net/anime/36885/Saenai_Heroine_no_Sodatekata_Fine,36885,38,8.42,Movie (1 eps),Oct 2019 - Oct 2019,180342
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,https://cdn.myanimelist.net/images/anime/1667/112943.jpg,https://myanimelist.net/anime/39741/Violet_Evergarden_Gaiden__Eien_to_Jidou_Shuki_Ningyou,39741,39,8.41,Movie (1 eps),Sep 2019 - Sep 2019,413752
Fruits Basket: Prelude,https://cdn.myanimelist.net/images/anime/1034/120096.jpg,https://myanimelist.net/anime/49310/Fruits_Basket__Prelude,49310,40,8.41,Movie (1 eps),Feb 2022 - Feb 2022,103185
Josee to Tora to Sakana-tachi,https://cdn.myanimelist.net/images/anime/1714/108892.jpg,https://myanimelist.net/anime/40787/Josee_to_Tora_to_Sakana-tachi,40787,41,8.4,Movie (1 eps),Dec 2020 - Dec 2020,413617
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,https://cdn.myanimelist.net/images/anime/11/89556.jpg,https://myanimelist.net/anime/35851/Sayonara_no_Asa_ni_Yakusoku_no_Hana_wo_Kazarou,35851,42,8.39,Movie (1 eps),Feb 2018 - Feb 2018,424710
Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),https://cdn.myanimelist.net/images/anime/9/56619.jpg,https://myanimelist.net/anime/5205/Kara_no_Kyoukai_Movie_7__Satsujin_Kousatsu_Go,5205,43,8.38,Movie (1 eps),Aug 2009 - Aug 2009,205411
Cowboy Bebop: Tengoku no Tobira,https://cdn.myanimelist.net/images/anime/1439/93480.jpg,https://myanimelist.net/anime/5/Cowboy_Bebop__Tengoku_no_Tobira,5,44,8.38,Movie (1 eps),Sep 2001 - Sep 2001,373195
Made in Abyss Movie 2: Hourou Suru Tasogare,https://cdn.myanimelist.net/images/anime/1336/95168.jpg,https://myanimelist.net/anime/37515/Made_in_Abyss_Movie_2__Hourou_Suru_Tasogare,37515,45,8.37,Movie (1 eps),Jan 2019 - Jan 2019,134178
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,https://cdn.myanimelist.net/images/anime/6/42265.jpg,https://myanimelist.net/anime/11979/Mahou_Shoujo_Madoka★Magica_Movie_2__Eien_no_Monogatari,11979,46,8.37,Movie (1 eps),Oct 2012 - Oct 2012,201054
Kizumonogatari I: Tekketsu-hen,https://cdn.myanimelist.net/images/anime/1783/112810.jpg,https://myanimelist.net/anime/9260/Kizumonogatari_I__Tekketsu-hen,9260,47,8.36,Movie (1 eps),Jan 2016 - Jan 2016,523669
Ramayana: The Legend of Prince Rama,https://cdn.myanimelist.net/images/anime/1070/104671.jpg,https://myanimelist.net/anime/4921/Ramayana__The_Legend_of_Prince_Rama,4921,48,8.36,Movie (1 eps),Jan 1993 - Jan 1993,10745
Kaze no Tani no Nausicaä,https://cdn.myanimelist.net/images/anime/10/75914.jpg,https://myanimelist.net/anime/572/Kaze_no_Tani_no_Nausicaä,572,49,8.35,Movie (1 eps),Mar 1984 - Mar 1984,371754
K-On! Movie,https://cdn.myanimelist.net/images/anime/5/76233.jpg,https://myanimelist.net/anime/9617/K-On_Movie,9617,50,8.35,Movie (1 eps),Dec 2011 - Dec 2011,326667
